EnsemblID,log2FoldChange,padj,Gene.name
ENSG00000142583.13,2.1660239412,1.27218814534512E-035,SLC2A5
ENSG00000154319.10,2.9050768583,1.29462067793643E-034,FAM167A
ENSG00000187323.7,-2.6718376257,1.59579546622325E-025,DCC
ENSG00000118515.7,1.572600329,6.70964466016571E-025,SGK1
ENSG00000152953.8,-1.3299051967,6.70964466016571E-025,STK32B
ENSG00000106366.7,1.9765508073,1.81365620039725E-024,SERPINE1
ENSG00000017483.10,1.6391923535,1.15654116516564E-022,SLC38A5
ENSG00000128342.4,2.7036889457,1.24485062470181E-021,LIF
ENSG00000154864.7,-1.2911543588,5.70426271377527E-021,PIEZO2
ENSG00000123610.3,2.2243337663,1.85167983383135E-019,TNFAIP6
ENSG00000046889.14,1.9506887107,1.85167983383135E-019,PREX2
ENSG00000104415.9,1.7238078035,1.85167983383135E-019,WISP1
ENSG00000120149.6,2.490099397,2.11108248610221E-019,MSX2
ENSG00000162512.11,-1.1484006051,2.79258194489058E-019,SDC3
ENSG00000166165.8,1.8370606691,5.55043909761696E-019,CKB
ENSG00000165238.12,-1.7238493989,5.55043909761696E-019,WNK2
ENSG00000150938.5,-1.0555470557,5.55043909761696E-019,CRIM1
ENSG00000126860.7,1.0962218724,1.35046249902839E-018,EVI2A
ENSG00000165617.8,-1.4436783169,2.82828725816506E-018,DACT1
ENSG00000167244.12,-1.471480839,4.17368382241325E-018,IGF2
ENSG00000128641.13,0.8549692795,6.16638610132564E-018,MYO1B
ENSG00000038427.11,1.7896348359,6.97088551175435E-018,VCAN
ENSG00000176490.4,1.2294381735,1.76396342820637E-017,DIRAS1
ENSG00000106819.7,1.0552030831,1.86804616270414E-017,ASPN
ENSG00000011426.6,1.8956516328,3.31529997710311E-017,ANLN
ENSG00000007402.7,-1.5763323548,3.57694802729238E-017,CACNA2D2
ENSG00000107623.4,-1.1335279886,6.14422135182336E-017,GDF10
ENSG00000135919.8,1.5041468693,1.36105567686729E-016,SERPINE2
ENSG00000109738.6,1.1572700067,1.46457518990758E-016,GLRB
ENSG00000196154.7,1.1955526153,1.54769859115543E-016,S100A4
ENSG00000153902.9,-1.2615504796,4.49004223495752E-016,LGI4
ENSG00000066382.11,-1.2386751014,5.47023772314064E-016,MPPED2
ENSG00000218336.3,1.9202292618,6.88754480341263E-016,TENM3
ENSG00000179399.9,-1.2746580494,6.88754480341263E-016,GPC5
ENSG00000075223.9,1.4282138834,2.53850781432111E-015,SEMA3C
ENSG00000145247.7,1.5694055294,3.15619353566554E-015,OCIAD2
ENSG00000108821.9,1.3992261031,6.07908005526784E-015,COL1A1
ENSG00000091831.16,-1.038257545,1.32600577829231E-014,ESR1
ENSG00000114270.11,1.843956049,1.51382721742836E-014,COL7A1
ENSG00000138316.6,1.9044806896,1.56393172732339E-014,ADAMTS14
ENSG00000164116.12,-1.3565327269,1.73391119313896E-014,GUCY1A3
ENSG00000104783.7,1.5409225398,2.99559461259788E-014,KCNN4
ENSG00000131389.12,1.233433126,3.33875609703301E-014,SLC6A6
ENSG00000142178.7,1.3120260411,4.39792579847946E-014,SIK1
ENSG00000139329.4,1.1427114069,4.41848442777373E-014,LUM
ENSG00000159650.4,1.8758080906,6.29145544791924E-014,UROC1
ENSG00000171488.9,1.3382950175,8.30790771246359E-014,LRRC8C
ENSG00000214548.8,-1.580460629,8.80444335170594E-014,MEG3
ENSG00000011422.7,1.0154746022,1.143718179401E-013,PLAUR
ENSG00000120875.4,1.7975870892,1.38266156231137E-013,DUSP4
ENSG00000146386.7,1.0718845196,2.70850164390328E-013,ABRACL
ENSG00000108176.8,2.2096534674,2.94858544836399E-013,DNAJC12
ENSG00000172164.9,1.3911866426,3.1929337290295E-013,SNTB1
ENSG00000187595.10,-1.4243527006,3.57584046548243E-013,ZNF385C
ENSG00000106809.6,1.0889323028,3.85056156666075E-013,OGN
ENSG00000135547.4,1.8045459497,3.861937597104E-013,HEY2
ENSG00000139926.11,0.9663991351,3.92580936180623E-013,FRMD6
ENSG00000196878.8,1.6754962719,4.92765547088751E-013,LAMB3
ENSG00000169583.12,1.8544105851,5.2693453169862E-013,CLIC3
ENSG00000164591.9,-1.3397935574,5.39056051846408E-013,MYOZ3
ENSG00000158560.10,-0.9938177898,8.82930601676706E-013,DYNC1I1
ENSG00000180767.5,2.2734645591,1.66790628276985E-012,CHST13
ENSG00000002933.3,-1.89354558,1.96376468080052E-012,TMEM176A
ENSG00000144152.8,-1.1365864379,2.69951209731055E-012,FBLN7
ENSG00000205726.9,-0.9131708705,3.32553640174547E-012,ITSN1
ENSG00000137496.13,-1.1646889761,3.42368525924875E-012,IL18BP
ENSG00000185652.6,1.9137294198,3.53648309325938E-012,NTF3
ENSG00000006128.7,-1.7446514328,4.26237925399552E-012,TAC1
ENSG00000249306.1,2.1712644873,5.17416140226905E-012,RP11-267A15.1
ENSG00000105976.10,0.9663224664,5.17416140226905E-012,MET
ENSG00000076716.7,1.4744633824,5.24159064389631E-012,GPC4
ENSG00000044524.6,1.1181634147,5.24159064389631E-012,EPHA3
ENSG00000173267.9,-1.1618882422,6.47040070315039E-012,SNCG
ENSG00000111199.6,-0.761597532,6.57951904590387E-012,TRPV4
ENSG00000117069.10,1.533376804,9.00778589119792E-012,ST6GALNAC5
ENSG00000138650.6,1.8699673224,9.40941903973812E-012,PCDH10
ENSG00000188730.3,1.389174098,1.02256265798081E-011,VWC2
ENSG00000112210.6,1.1681827664,1.09555261480637E-011,RAB23
