MP:0005282	decreased fatty acid level
MP:0003458	decreased circulating ketone body level
MP:0005286	decreased saturated fatty acid level
MP:0002644	decreased circulating triglyceride level
MP:0005559	increased circulating glucose level
MP:0009289	decreased epididymal fat pad weight
MP:0005285	decreased unsaturated fatty acid level
HP:0003292	Decreased serum leptin
MP:0004773	abnormal bile composition
MP:0005289	increased oxygen consumption
MP:0005533	increased body temperature
MP:0005292	improved glucose tolerance
MP:0009356	decreased liver triglyceride level
MP:0011940	decreased food intake
MP:0002702	decreased circulating free fatty acid level
MP:0010026	decreased liver cholesterol level
MP:0009305	decreased retroperitoneal fat pad weight
HP:0003146	Hypocholesterolemia
MP:0005659	decreased susceptibility to diet-induced obesity
HP:0000842	Hyperinsulinemia
MP:0000607	abnormal hepatocyte morphology
HP:0008064	Ichthyosis
HP:0001622	Premature birth
HP:0008070	Sparse hair
HP:0002033	Poor suck
MP:0002270	abnormal pulmonary alveolus morphology
HP:0001036	Parakeratosis
MP:0001435	no suckling reflex
HP:0010808	Protruding tongue
MP:0001236	abnormal epidermis stratum spinosum morphology
MP:0009602	abnormal keratohyalin granule morphology
MP:0009546	absent gastric milk in neonates
MP:0009607	decreased keratohyalin granule size
HP:0100679	Lack of skin elasticity
MP:0001179	thick pulmonary interalveolar septum
MP:0001240	abnormal epidermis stratum corneum morphology
HP:0002098	Respiratory distress
HP:0004299	Hernia of the abdominal wall
MP:0001402	hypoactivity
HP:0002533	Abnormal posturing
MP:0000379	decreased hair follicle number
MP:0001196	shiny skin
MP:0009583	increased keratinocyte proliferation
HP:0000962	Hyperkeratosis
HP:0000961	Cyanosis
MP:0001922	reduced male fertility
HP:0000798	Oligospermia
MP:0005169	abnormal male meiosis
MP:0004852	decreased testis weight
HP:0000956	Acanthosis nigricans
HP:0001397	Hepatic steatosis
HP:0002155	Hypertriglyceridemia
MP:0009293	decreased inguinal fat pad weight
MP:0005560	decreased circulating glucose level
MP:0009283	decreased gonadal fat pad weight
MP:0004889	increased energy expenditure
MP:0011049	impaired adaptive thermogenesis
MP:0010378	increased respiratory quotient
MP:0001783	decreased white adipose tissue amount
MP:0011939	increased food intake
MP:0010025	decreased total body fat amount
MP:0003213	decreased susceptibility to age related obesity
MP:0009299	decreased mesenteric fat pad weight
MP:0008844	decreased subcutaneous adipose tissue amount
MP:0009115	abnormal fat cell morphology
MP:0008034	enhanced lipolysis
MP:0005335	abnormal gonadal fat pad morphology
MP:0005334	abnormal fat pad morphology
MP:0002970	abnormal white adipose tissue morphology
MP:0002971	abnormal brown adipose tissue morphology
HP:0000340	Sloping forehead
HP:0012448	Delayed myelination
HP:0002171	Gliosis
HP:0002804	Arthrogryposis multiplex congenita
HP:0001276	Hypertonia
HP:0000453	Choanal atresia
HP:0002059	Cerebral atrophy
HP:0001272	Cerebellar atrophy
HP:0001322	Brain very small
MP:0011094	complete embryonic lethality before implantation
MP:0006254	thin cerebral cortex
MP:0003241	loss of cortex neurons
MP:0009446	abnormal platelet dense granule physiology
MP:0004812	abnormal linear vestibular evoked potential
MP:0001522	impaired swimming
HP:0011869	Abnormal platelet function
MP:0005075	abnormal melanosome morphology
HP:0003010	Prolonged bleeding time
MP:0002980	abnormal postural reflex
MP:0005191	head tilt
MP:0002894	abnormal otolith morphology
MP:0009448	decreased platelet ATP level
MP:0002978	absent otoliths
MP:0004722	abnormal platelet dense granule number
HP:0002286	Fair hair
HP:0003540	Impaired platelet aggregation
MP:0004721	abnormal platelet dense granule morphology
MP:0004725	decreased platelet serotonin level
MP:0004756	abnormal proximal convoluted tubule morphology
MP:0005059	lysosomal protein accumulation
MP:0003173	decreased lysosomal enzyme secretion
MP:0005201	abnormal retinal pigment epithelium morphology
MP:0002963	decreased urine protein level
HP:0002718	Recurrent bacterial infections
HP:0000833	Glucose intolerance
HP:0002594	Pancreatic hypoplasia
MP:0003934	abnormal pancreas development
MP:0010144	abnormal tumor vascularization
MP:0000208	decreased hematocrit
MP:0003721	increased tumor growth/size
MP:0002874	decreased hemoglobin content
MP:0012138	decreased forebrain size
MP:0012132	abnormal midbrain-hindbrain boundary morphology
HP:0100702	Arachnoid cyst
HP:0006280	Chronic pancreatitis
HP:0000822	Hypertension
HP:0003774	Stage 5 chronic kidney disease
HP:0001737	Pancreatic cysts
HP:0005583	Tubular basement membrane disintegration
HP:0000092	Tubular atrophy
HP:0000108	Renal corticomedullary cysts
HP:0000090	Nephronophthisis
ZP:0003113	abnormal(ly) disrupted gastrulation
ZP:0002767	abnormal(ly) decreased thickness somite
ZP:0001556	abnormal(ly) kinked notochord
ZP:0000148	abnormal(ly) increased width notochord
HP:0000528	Anophthalmia
MP:0008875	abnormal xenobiotic pharmacokinetics
HP:0011001	Increased bone mineral density
HP:0000272	Malar flattening
HP:0000829	Hypoparathyroidism
HP:0100627	Displacement of the external urethral meatus
HP:0002983	Micromelia
HP:0001231	Abnormality of the fingernails
HP:0100625	Enlarged thorax
